feature_1,feature_2,class
-2.9883718608980403,8.828627151534505,0
-4.024388685251303,10.381160395642846,0
-3.4838792932800717,9.801370731940773,0
-2.637115214533517,8.058745687597895,0
3.6904799473961583,4.605551748778122,1
-4.043311793788373,10.291962950096831,0
2.168234336100812,1.176274428470255,1
-0.4484496981707631,10.769626970641525,0
-1.3297575023314632,8.545110476093617,0
4.2196920191322445,1.6913850750802248,1
-3.6155325970587784,7.818079504117651,0
6.305353280690678,2.9875397489588624,1
-1.3460338708977906,9.024519189217909,0
-1.6966718006585522,10.370526156769145,0
4.929653693124514,4.048570482586171,1
5.624201234704685,1.759180839715223,1
-0.36525353372742453,9.648205150516333,0
5.272660702334386,4.243862541745128,1
-1.686652710949561,7.793442478227299,0
-1.0679243339866347,7.578423977018883,0
3.8660896371245284,0.728514980629315,1
-2.4449176039572875,7.936541350269016,0
-2.4636257831489363,8.362685780592505,0
5.575557229375563,3.2447247789348905,1
4.276266624014245,1.9162240602196645,1
-1.9223405292524798,11.2047417540083,0
4.002491708921584,3.162186215048284,1
5.841092758392046,1.5650943109191806,1
-0.8642299095514665,8.765250088641944,0
-2.2642310519440274,8.50734295282719,0
-2.300334028047995,7.054616004318546,0
-1.3663748085377296,9.766219160885095,0
4.1001191559187395,1.1948649585384192,1
4.3321006012751,2.192320011604671,1
4.047484911989232,1.1091789142609159,1
4.278912670409022,3.13249948730498,1
-1.6837812740647204,9.82779576419896,0
-2.617957771509608,9.415997850297263,0
4.91033566200794,1.9229315744915951,1
-3.384815876437507,7.631486397233985,0
-2.4174368465172478,7.026717213597429,0
4.400930789361691,1.0656060218991341,1
3.6357380694760337,1.2053721188366036,1
4.895908570541977,2.955860667886246,1
4.735999613169085,1.5108943952356895,1
-2.1425993769559017,8.074406341870967,0
4.821745091286597,2.221390270241068,1
4.557727657835533,3.0904655155288596,1
-3.109836312971555,8.722592378405045,0
4.0021388519767855,1.4421727289389144,1
4.817579837161356,0.6378253252306307,1
3.5293029907622726,3.7254401273643545,1
-4.234115455565783,8.45199859895735,0
4.064241009990328,2.0951794985860936,1
5.671723375696736,0.48760931090376003,1
5.578162642204099,1.457124955723358,1
-2.778604457497308,9.731828383994284,0
-3.4997339481834384,8.44798839859555,0
-1.9941499367467022,12.867017618853042,0
-2.035959998479205,8.94145721554145,0
3.558822295819839,3.0263225372736358,1
3.295428325193824,1.0545177374565338,1
-3.8868669910098412,8.0764610882832,0
-3.2112507169301026,8.686623981600553,0
-3.6924561357185253,6.975053950438221,0
-2.065378194906522,9.788920181627658,0
-1.9383071123595832,10.14985176837892,0
-2.4393955380627315,8.628972531336562,0
-2.7581617715318236,9.985857079152677,0
5.133196737108991,2.1580058076356057,1
3.23236714151028,1.1953529963498566,1
7.199963374496896,1.8771097842160822,1
4.544583303841149,2.2521912097110715,1
4.398642778371771,2.325225080455029,1
-3.2924509153889874,8.692224611992646,0
3.3883394120376575,3.4169342880139917,1
4.152272612155608,1.540611496121111,1
-2.096266168777126,8.450561575394346,0
5.350838804431593,2.417432995426772,1
-3.327418306286223,11.106673403883782,0
-2.2851051412423335,9.026878528980117,0
-2.5439093927579934,7.845608090578789,0
4.90692910209736,2.862800479564169,1
4.193445221677573,2.1672596768390395,1
4.573799037580785,0.7621534841782753,1
-0.9231808069073981,7.776470629371472,0
5.048131591942573,0.2705860797028916,1
-2.581207744633084,10.017819026090345,0
-1.6963355042137902,9.643914970121934,0
-1.534077889634999,8.867228746696183,0
6.437565363077624,2.614012545207742,1
-3.2683302846064484,9.16467991467453,0
4.623455940155349,3.161562957388816,1
4.550143141940874,3.413286899390205,1
-1.5458214938084285,9.42706705513482,0
-2.3889019913408513,9.52872496225707,0
-2.147561598005116,8.369166373593197,0
4.8063310444411576,2.465620947948881,1
-2.3956802778015023,9.676416802719368,0
-2.31013792747928,8.414069251039527,0
5.807660897887908,2.227590527241945,1
5.834925465152944,0.4499827791569573,1
-3.393055059253883,9.168011234143849,0
-1.5830200755211088,10.923702768668452,0
4.399553438069966,1.5983488763911344,1
-3.2245013323127183,9.693883877132997,0
3.618646019097388,2.6815261312400853,1
-3.3346948198452617,8.692900286545328,0
-3.3489194652335263,8.4148934827543,0
6.0220378272656285,2.621879571530375,1
5.677418780486001,1.463153285085985,1
4.599720885583758,0.5423945818226839,1
4.978375243722516,1.5578817700399308,1
4.982604182605805,2.429922903094516,1
6.1903793290421785,0.974815643201941,1
4.668623659162919,3.251621546548031,1
-2.9592630945319938,9.63713606054582,0
-2.7326604083786012,9.728286622290414,0
-1.3510867495526824,9.805948822161257,0
-3.208923131045336,9.228266038932544,0
-1.636876986332072,9.197628133936673,0
6.060383084217956,1.4024233901912557,1
-3.4741210836328547,9.70033758819676,0
4.82664560070518,1.2177867515874095,1
-2.616227983007308,7.9790438057789475,0
3.417751027336156,2.68616811411312,1
6.205402865462442,1.9074194228677441,1
5.846387802736459,1.156234012953496,1
4.94768060512016,0.26300129128410643,1
3.7815210560468877,2.6734795633497233,1
6.521903332703135,3.3185897300957095,1
6.233065462867499,1.4619540075095467,1
4.60519394884132,2.207384416477253,1
5.285363017369177,4.136424407246192,1
3.2916934141223884,2.716433777963447,1
5.2169509634086415,1.7701242978977394,1
5.895634961801623,1.0785623817212282,1
5.6690344735537455,2.4457671663537752,1
4.722162825503526,3.038650059006083,1
-3.5464437773792064,8.823947450114714,0
4.653808128141048,1.9490445968307286,1
5.01102470959941,1.3691844972249114,1
4.754106484890141,2.12347144540261,1
