feature_1,feature_2,feature_3,feature_4,feature_5,class
-3.4167612850943483,8.437514797629989,5.395270062053857,2.4740868715651128,-7.857182435949821,0
-2.0953985256012517,8.828998469320613,4.510058136494675,2.0169811559198414,-7.026629192779759,0
-4.287917871957029,10.510330439687504,5.294244492582159,1.917585013030277,-6.59965856483145,0
-8.119216668929848,-10.305853022388451,7.48828375673522,2.0731879367201937,4.334793220291317,1
-2.7682397688734532,8.817936279113344,4.568277576814038,1.9359474474308904,-6.15199764751429,0
-7.646766181059294,-9.38788489254459,8.183110802478506,1.635169585074661,4.116040337988671,1
-7.530112174099406,-8.669673084669283,7.765463565068112,0.9319011574213296,5.572383935667179,1
-7.316873830514164,-10.44490485737469,9.073106819704124,3.4037543135546624,2.8691888608152905,1
-1.5366431734260204,9.636096090415517,3.069654116337645,1.2460325081158634,-7.127145826702775,0
-2.1680456482361063,9.290976927528341,5.467062085264125,1.9861715758186391,-5.426093113993954,0
-2.730161796882414,9.041171967192852,4.848261644175654,-0.06856518448355864,-7.126804573671867,0
-3.370481824381014,10.537410205467978,5.17878887991276,0.9359235296142756,-7.069965869234879,0
-1.9117975532028921,9.71545887050922,4.342315332868109,3.3488764972523515,-7.029682778183797,0
-6.727754721242224,-9.66074768901821,8.444553582823175,2.0225072997823728,4.152151234782295,1
-7.06922998405298,-7.916677644711551,7.195973795121169,3.533455165111523,2.7102758658693498,1
-2.8295449312470704,9.438452074600239,5.162714324263601,1.399469680002153,-6.903981783412253,0
-7.183289376110222,-8.03838585469396,5.7072123070621155,0.9686178157178216,3.093648634341716,1
-7.2233018687733574,-8.216755866779959,6.95391257945507,2.399400628766362,4.132188742235931,1
-2.005151107534906,8.484028509825881,3.847006003965757,1.866139323986174,-7.914869513570644,0
-2.4622170292880083,8.564220656719078,5.262728768575601,0.9055492545581376,-7.0220066761725635,0
-7.114129452382928,-8.371969382189675,8.310857432087804,1.946349211221653,3.8416040326660648,1
-8.243283597868757,-8.648621589025614,6.661540737702094,2.4481874410572115,4.180599333336661,1
-1.614273246108309,8.719336449906294,5.887620908901836,1.2996790596968635,-6.600633028927468,0
-1.8975213342118824,10.045285650694272,5.5711589553443,1.1339521607180933,-7.188839567002485,0
-8.261154196429722,-8.534509161031135,8.045085420624847,1.7914338610194067,5.614712219241943,1
-6.039489566771394,-8.291594188434631,7.084590816329009,1.6554758230494881,3.769693406877087,1
-8.17338255114711,-9.794764133454018,7.795929193379081,3.5064162634001406,4.517064904706569,1
-5.856047067464484,-8.245800807434827,8.101883991665341,1.4711145185356422,3.343252672498602,1
-1.6595955260317257,9.371301614163368,3.946969240967447,2.8727695593739826,-6.572327670274661,0
-6.100449061006607,-7.528019010516402,8.71920672628866,1.4601322082858736,3.952229682176381,1
-3.191181871050549,8.012666118303406,4.358778543342146,3.770856210790255,-6.23878432988426,0
-5.98991118215116,-7.803078421912257,5.477335053260609,1.0927893746717656,2.66492230083083,1
-5.3516411668634145,-8.330492000346387,7.8618189945483365,3.094807572173978,3.7964988263780235,1
-7.208728069024931,-8.235140325553667,6.77940891338451,1.8595073287918815,4.20237073131663,1
-6.743574262193209,-9.203649307948119,7.508203221363612,0.6751739453344792,3.1898375174102576,1
-6.923586543089809,-10.369435259191732,7.837777671516538,2.5943576765783196,4.099260538921598,1
-7.01274333965852,-9.812857061306651,8.430603584785676,1.9019190709105773,1.9887820099068727,1
-5.850148775694786,-9.17310308874255,6.919874452256707,1.0671776555148227,4.58505062151437,1
-5.689463318489605,-7.888773621194686,5.8386249470488,-0.5316209000377792,5.095771467160183,1
-8.656344826174266,-8.42967494515534,6.294151407316631,0.6696299490206412,2.6390923697030177,1
-7.719319260614953,-9.883136950657043,5.357166326122702,4.078507364804498,3.0582431901992257,1
-3.227641844305186,8.800838976486475,4.950786401826106,3.448525900890284,-6.02196756794925,0
-7.30646718948149,-7.689882047439255,7.436793326036468,0.584022256546809,5.080680490496112,1
-2.1147454806744532,8.593301647378059,4.929653693124514,4.048570482586171,-6.008502487719578,0
-7.027712179574615,-9.304364258504252,5.7288198482319075,2.535900341433892,3.6287507162589976,1
-1.0654330189794907,8.932134949805754,5.757174667816229,2.315895030318436,-6.422873971997486,0
