feature_1,feature_2,feature_3,class
2.2829903941677596,-6.245850310219172,-6.466310495824448,1
2.1198833703740547,-5.673118224642913,-7.697045264263183,1
-3.6338397148906196,7.4801719574627,5.91755565812661,0
-1.6434424288826288,7.813989721142545,4.305377600387153,0
-2.201395854160691,7.304117735541696,3.2916934141223884,0
-3.3250079080181885,8.937184418784218,4.981030811044746,0
2.9549351709323264,-7.204458574659893,-9.37951530814952,1
3.1735835918851576,-7.536521470122666,-7.9270205759578865,1
3.003453137972574,-6.640838032124757,-7.13915173909665,1
1.3342079362512298,-8.20271698455877,-5.238094433139578,1
-2.7015585878338726,9.315833470531935,4.605167066522858,0
1.4179701572475336,-4.99847012171068,-8.32812349369219,1
-3.5669085520086505,9.83683104030151,3.419035186257079,0
-2.818409998903965,9.345549559601885,5.615423963350461,0
-0.6777388571983964,10.193726248919608,4.170703184123397,0
-2.096416696116252,9.83634628819281,6.5366718188820485,0
-2.5468323254775984,10.117588010214844,4.754106484890141,0
1.67560618058074,-5.50392037783965,-7.030165180308473,1
-2.734973923539286,9.081814332886246,3.2151306500146446,0
3.1815359145338746,-5.8555646653398075,-6.287582644074764,1
1.9835223037841125,-8.19146342350143,-7.945223256351319,1
0.974815643201941,-5.895304792674686,-7.094098437501455,1
0.2124069247849143,-6.126285570046738,-6.498951208393169,1
-3.2822074069082166,9.038796302457264,5.137877127473551,0
1.4107029080464644,-6.247219452095749,-5.907555143649216,1
-2.571876720325922,9.96942844869956,3.6541527898925574,0
1.9762157040941464,-6.44268902140492,-5.689463318489605,1
-2.6059107349231425,8.469367041389372,5.039014950580173,0
3.022722399260067,-7.414862402711838,-5.562715527641621,1
3.0238240799483442,-5.774101258193286,-5.693079287715566,1
-1.3079837008888053,8.60621075517677,2.6017543010502475,0
1.2911854359429333,-7.881247201046186,-7.161209886161902,1
3.0263225372736358,-6.9191823450079255,-6.198608895903322,1
2.6118999059699166,-8.022632103881755,-5.246678060974851,1
-0.9231808069073981,7.776470629371472,6.772912210884368,0
2.48044371504803,-5.812952501562116,-5.710814002830274,1
3.4265541610584327,-5.3000550454205575,-7.402969620429215,1
1.786298039779373,-7.319358249425445,-5.433131708922214,1
-3.3346948198452617,8.692900286545328,5.052810290503726,0
1.5529828668448746,-7.161411800011777,-8.224560104310223,1
-2.4121200737047097,9.98293111873121,3.937825742350749,0
4.376585269179007,-6.937245988184856,-6.6790105465609795,1
2.5949796461579284,-8.449851911041726,-7.607246769100815,1
1.8261676823122435,-5.91574807435636,-4.669586591684595,1
-1.3826325935049928,8.745397437643492,3.533352927486431,0
0.9519368668100188,-6.171270743851917,-6.636308879504748,1
-1.1535597642477993,9.427721031422022,6.516674648786167,0
-3.8136671235576034,9.68395867702836,5.00647708232495,0
1.9105765560412096,-7.633591780017946,-7.1607846701427205,1
1.1262083356224042,-7.871019540607577,-9.033499706879661,1
0.7492294171784755,-6.845543722892044,-7.650082824334588,1
-1.0131533115635671,9.66865178455238,4.5842941653176466,0
1.8522215353329505,-6.460094747244242,-7.767601771078047,1
-3.4324308691636545,7.662601522581988,3.6640055832507685,0
-1.6872951186775262,9.101333196436492,4.340871485762234,0
1.7768198348557538,-6.951228450565334,-6.917331829785788,1
-1.8764157569464652,11.284978986002717,4.821745091286597,0
-1.93212549587221,8.811240742155329,5.01102470959941,0
-2.637115214533517,8.058745687597895,3.033432515970529,0
2.982986773283366,-7.567777536328994,-4.627673787931638,1
2.9692173697465485,-7.636422279720731,-8.301920260017791,1
-3.2870143106436256,7.903710282732493,6.392149279651724,0
0.8534997893145881,-8.174308666872175,-5.719282805897427,1
2.114886597580637,-4.560297651169575,-6.486791753881575,1
-2.2282057553177177,8.391586608377727,4.4317565858708265,0
3.5471564472307646,-8.105392854153612,-8.344484473485767,1
2.4688515719133366,-6.729208286007694,-6.515148590809721,1
2.350381559005253,-5.31410316191693,-6.945859854348934,1
-3.287502348455063,9.210131383296003,3.661506058613069,0
-1.6735055109876082,7.884579273540703,5.169683014143384,0
-3.0828596299329867,8.467427186957929,4.607125566012103,0
2.1565296037198878,-6.894937040324265,-6.300818093674859,1
-3.002198557711583,8.42492137125411,5.489480933249126,0
-2.300334028047995,7.054616004318546,3.3116927873296707,0
-2.3889019913408513,9.52872496225707,5.351493714316991,0
-1.9915386025836272,8.288542315044856,4.82664560070518,0
-3.4741210836328547,9.70033758819676,5.698303323077689,0
-1.0580540152577085,9.973556954283529,6.793061293739658,0
-4.024044847738615,8.5677711761313,5.496277630551574,0
-3.4167612850943483,8.437514797629989,5.395270062053857,0
3.038650059006083,-7.396915641251642,-5.470762153090367,1
-2.0082804354283694,8.03673088339977,4.739211141657327,0
2.8505319745164033,-7.100591364980934,-6.853223754281416,1
0.880856919268153,-7.196035640846072,-5.667011893296763,1
2.2139228634293002,-4.277944076970876,-6.314599947644402,1
0.9466543845296718,-6.746657517004394,-7.58023040821512,1
-2.273583064944184,9.785151322085289,3.1612925904482596,0
-1.5376266720983947,9.65966207778347,6.00851039376045,0
-1.8932620161084865,9.607387386166705,4.330332396914111,0
-1.6837812740647204,9.82779576419896,5.9453576433824304,0
-0.4337968244073114,9.885410831630013,4.31385530406026,0
-2.1850312705643082,8.884143073830638,4.73687480122082,0
1.4421727289389144,-7.502767717576035,-7.435586712436201,1
-1.8526440144189205,8.039604457971,5.426963439970553,0
